"TOA5","draker_prospector","CR1000","38934","CR1000.Std.25","CPU:prospector.CR1","13672","panelControl"
"TIMESTAMP","RECORD","pnl_control_modem_override","pnl_control_modem_disabled","pnl_control_heater_timer","pnl_control_daytime","pnl_control_sunrise","pnl_control_sunset","pnl_control_check_ntp","PortStatus","SW12Volts","Battery"
"TS","RN","Min","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-08-29 12:34:00",0,9,0,0,-1,-1,0,0,0,0,13.65122
"2012-08-29 12:35:00",1,8,0,0,-1,0,0,0,0,0,13.64575
"2012-08-29 12:36:00",2,7,0,0,-1,0,0,0,0,0,13.60745
"2012-08-30 17:37:00",0,9,0,0,0,0,0,0,0,0,13.5573
"2012-08-30 17:38:00",1,8,0,0,0,0,0,0,0,0,13.55183
"2012-08-30 17:39:00",2,7,0,0,-1,-1,0,0,0,0,13.55183
"2012-08-30 17:40:00",3,6,0,0,-1,0,0,0,0,0,13.57362
"2012-08-30 17:41:00",4,5,0,0,-1,0,0,0,0,0,13.574
"2012-08-30 17:42:00",5,4,0,0,-1,0,0,0,0,0,13.55745
"2012-08-30 17:43:00",6,3,0,0,-1,0,0,0,0,0,13.55186
"2012-08-30 17:44:00",7,2,0,0,-1,0,0,0,0,0,13.57364
"2012-08-30 17:45:00",8,1,0,0,-1,0,0,0,0,0,13.57364
"2012-08-30 17:46:00",9,0,0,0,-1,0,0,0,0,0,13.56262
"2012-08-30 17:47:00",10,0,0,0,-1,0,0,0,0,0,13.55162
"2012-08-30 17:48:00",11,0,0,0,-1,0,0,0,0,0,13.57345
"2012-08-30 17:49:00",12,0,0,0,-1,0,0,0,0,0,13.55154
"2012-08-30 17:50:00",13,0,0,0,-1,0,0,0,0,0,13.57885
"2012-08-30 17:51:00",14,0,0,0,-1,0,0,0,0,0,13.57885
"2012-08-30 17:52:00",15,0,0,0,-1,0,0,0,0,0,13.56789
"2012-08-30 17:53:00",16,0,0,0,-1,0,0,0,0,0,13.55693
"2012-08-30 17:54:00",17,0,0,0,-1,0,0,0,0,0,13.56785
"2012-08-30 17:55:00",18,0,0,0,-1,0,0,0,0,0,13.55143
"2012-08-30 17:56:00",19,0,0,0,-1,0,0,0,0,0,13.56783
"2012-08-30 17:57:00",20,0,0,0,-1,0,0,0,0,0,13.56783
"2012-08-30 17:58:00",21,0,0,0,-1,0,0,0,0,0,13.55141
"2012-08-30 17:59:00",22,0,0,0,-1,0,0,0,0,0,13.56781
"2012-08-30 18:00:00",23,0,0,0,-1,0,0,0,0,0,13.5514
"2012-08-30 18:01:00",24,0,0,0,-1,0,0,0,0,0,13.53499
"2012-08-30 18:02:00",25,0,0,0,-1,0,0,0,0,0,13.52952
"2012-08-30 18:03:00",26,0,0,0,-1,0,0,0,0,0,13.52952
"2012-08-30 18:04:00",27,0,0,0,-1,0,0,0,0,0,13.54045
